descripcion;establecimiento;categoria;medida;territorio;cantidad
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Almeria;24
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Cadiz;55
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Cordoba;15
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Granada;31
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Huelva;10
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Jaen;16
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Malaga;45
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Sevilla;31
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Almeria;772
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Cadiz;2071
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Cordoba;748
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Granada;1488
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Huelva;435
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Jaen;396
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Malaga;1830
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Sevilla;1263
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Almeria;35
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Cadiz;79
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Cordoba;40
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Granada;79
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Huelva;32
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Jaen;43
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Malaga;101
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Sevilla;55
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Almeria;1658
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Cadiz;3261
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Cordoba;1695
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Granada;3978
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Huelva;1750
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Jaen;1465
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Malaga;4894
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Sevilla;2391
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Almeria;23
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Cadiz;68
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Cordoba;29
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Granada;92
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Huelva;17
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Jaen;43
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Malaga;141
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Sevilla;56
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Almeria;2215
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Cadiz;6532
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Cordoba;2222
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Granada;7606
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Huelva;1983
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Jaen;2653
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Malaga;20737
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Sevilla;5299
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Almeria;61
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Cadiz;93
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Cordoba;28
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Granada;67
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Huelva;40
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Jaen;26
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Malaga;173
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Sevilla;86
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Almeria;25061
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Cadiz;27649
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Cordoba;4070
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Granada;15661
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Huelva;20124
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Jaen;2710
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Malaga;63215
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Sevilla;17931
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Almeria;3
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Cadiz;10
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Cordoba;2
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Granada;8
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Huelva;2
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Jaen;1
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Malaga;24
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Sevilla;10
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Almeria;1080
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Cadiz;2951
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Cordoba;426
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Granada;1447
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Huelva;1226
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Jaen;81
