anual;mes;Territorio;Medida;Valor
2009;Enero;Almeria;Indice de precios hoteleros;100,7
2009;Enero;Cadiz;Indice de precios hoteleros;94,5
2009;Enero;Cordoba;Indice de precios hoteleros;98,3
2009;Enero;Granada;Indice de precios hoteleros;97,0
2009;Enero;Huelva;Indice de precios hoteleros;89,6
2009;Enero;Jaen;Indice de precios hoteleros;98,3
2009;Enero;Malaga;Indice de precios hoteleros;100,6
2009;Enero;Sevilla;Indice de precios hoteleros;92,7
2009;Febrero;Almeria;Indice de precios hoteleros;100,2
2009;Febrero;Cadiz;Indice de precios hoteleros;91,9
2009;Febrero;Cordoba;Indice de precios hoteleros;96,3
2009;Febrero;Granada;Indice de precios hoteleros;94,2
2009;Febrero;Huelva;Indice de precios hoteleros;105,1
2009;Febrero;Jaen;Indice de precios hoteleros;98,3
2009;Febrero;Malaga;Indice de precios hoteleros;98,1
2009;Febrero;Sevilla;Indice de precios hoteleros;93,0
2009;Marzo;Almeria;Indice de precios hoteleros;96,1
2009;Marzo;Cadiz;Indice de precios hoteleros;85,4
2009;Marzo;Cordoba;Indice de precios hoteleros;89,3
2009;Marzo;Granada;Indice de precios hoteleros;90,8
2009;Marzo;Huelva;Indice de precios hoteleros;87,8
2009;Marzo;Jaen;Indice de precios hoteleros;93,5
2009;Marzo;Malaga;Indice de precios hoteleros;91,5
2009;Marzo;Sevilla;Indice de precios hoteleros;84,0
2009;Abril;Almeria;Indice de precios hoteleros;102,3
2009;Abril;Cadiz;Indice de precios hoteleros;93,2
2009;Abril;Cordoba;Indice de precios hoteleros;96,3
2009;Abril;Granada;Indice de precios hoteleros;96,7
2009;Abril;Huelva;Indice de precios hoteleros;86,3
2009;Abril;Jaen;Indice de precios hoteleros;97,7
2009;Abril;Malaga;Indice de precios hoteleros;99,2
2009;Abril;Sevilla;Indice de precios hoteleros;91,2
2009;Mayo;Almeria;Indice de precios hoteleros;101,2
2009;Mayo;Cadiz;Indice de precios hoteleros;93,3
2009;Mayo;Cordoba;Indice de precios hoteleros;98,9
2009;Mayo;Granada;Indice de precios hoteleros;97,1
2009;Mayo;Huelva;Indice de precios hoteleros;82,0
2009;Mayo;Jaen;Indice de precios hoteleros;98,2
2009;Mayo;Malaga;Indice de precios hoteleros;97,0
2009;Mayo;Sevilla;Indice de precios hoteleros;92,4
2009;Junio;Almeria;Indice de precios hoteleros;98,7
2009;Junio;Cadiz;Indice de precios hoteleros;95,4
2009;Junio;Cordoba;Indice de precios hoteleros;93,5
2009;Junio;Granada;Indice de precios hoteleros;91,8
2009;Junio;Huelva;Indice de precios hoteleros;87,3
2009;Junio;Jaen;Indice de precios hoteleros;97,0
2009;Junio;Malaga;Indice de precios hoteleros;98,7
2009;Junio;Sevilla;Indice de precios hoteleros;91,1
2009;Julio;Almeria;Indice de precios hoteleros;94,8
2009;Julio;Cadiz;Indice de precios hoteleros;96,2
2009;Julio;Cordoba;Indice de precios hoteleros;97,5
2009;Julio;Granada;Indice de precios hoteleros;94,4
2009;Julio;Huelva;Indice de precios hoteleros;92,4
2009;Julio;Jaen;Indice de precios hoteleros;97,6
2009;Julio;Malaga;Indice de precios hoteleros;95,4
2009;Julio;Sevilla;Indice de precios hoteleros;87,9
2009;Agosto;Almeria;Indice de precios hoteleros;94,8
2009;Agosto;Cadiz;Indice de precios hoteleros;101,4
2009;Agosto;Cordoba;Indice de precios hoteleros;93,2
2009;Agosto;Granada;Indice de precios hoteleros;96,4
2009;Agosto;Huelva;Indice de precios hoteleros;93,6
2009;Agosto;Jaen;Indice de precios hoteleros;99,9
2009;Agosto;Malaga;Indice de precios hoteleros;97,3
2009;Agosto;Sevilla;Indice de precios hoteleros;94,5
2009;Septiembre;Almeria;Indice de precios hoteleros;95,6
2009;Septiembre;Cadiz;Indice de precios hoteleros;96,4
2009;Septiembre;Cordoba;Indice de precios hoteleros;92,2
2009;Septiembre;Granada;Indice de precios hoteleros;95,3
2009;Septiembre;Huelva;Indice de precios hoteleros;89,1
2009;Septiembre;Jaen;Indice de precios hoteleros;98,6
2009;Septiembre;Malaga;Indice de precios hoteleros;93,7
2009;Septiembre;Sevilla;Indice de precios hoteleros;90,6
2009;Octubre;Almeria;Indice de precios hoteleros;100,6
2009;Octubre;Cadiz;Indice de precios hoteleros;93,7
2009;Octubre;Cordoba;Indice de precios hoteleros;94,9
2009;Octubre;Granada;Indice de precios hoteleros;95,1
2009;Octubre;Huelva;Indice de precios hoteleros;92,8
