theta1;theta2;theta3;theta4;theta5;theta6;theta7;theta8;y
-0.015119208;0.36074091;0.46939777;13.096.745;0.98802387;-0.025492554;0.66407094;0.062762996;0.53652416
0.36047801;-0.30139478;0.62918307;-14.401.463;-0.74163685;-11.967.495;-10.384.439;-0.7174612;0.3080143
15.632.379;-12.947.529;0.078987171;14.329.368;11.491.364;-12.921.402;15.629.882;-0.93773069;0.51889978
0.19948468;0.90115659;-13.563.042;-0.080524638;-0.97662848;0.82989378;-0.85564902;0.93062954;0.49415079
0.65973667;0.12055156;-0.0087562194;0.64883889;0.62683171;-0.64653937;13.180.738;-0.8991723;0.47021765
15.136.662;-0.21721217;0.48907586;0.56705131;14.003.115;0.38172143;14.959.806;-13.281.023;0.28517032
-0.42916947;-0.15432012;14.916.375;-11.607.759;13.649.491;0.45987858;0.78013127;-0.40000056;0.52743972
0.045435426;12.972.702;0.04172363;0.12943647;0.78913725;0.86135091;-13.414.275;0.19887659;11.177.628
0.22619045;0.56802604;0.67388457;14.566.167;-0.77444761;0.26581168;-13.026.241;-0.13569806;0.5745679
0.25574014;-0.48646636;0.53642514;-10.744.508;-0.5225387;0.15208582;0.55605189;0.11900247;0.79019284
0.52576581;15.255.593;-0.67358732;-0.4195961;-15.565.182;-11.500.165;-0.67409671;-11.199.496;0.67938934
-0.75409541;15.374.519;13.178.684;0.72393068;-0.36011512;-12.494.858;-0.96025625;14.309.194;0.57751391
-0.8967911;0.3551291;11.862.098;-0.28548339;13.942.862;14.385.891;-0.66534825;0.5706901;0.54140341
0.99347572;-0.37127026;0.081449761;-0.90731517;0.62903747;0.6693608;15.617.882;0.30619354;0.62963212
-0.21854018;-0.73622589;-0.80825886;0.044664244;0.77353236;-0.096277706;0.96804199;0.26606137;12.299.687
-0.48304739;0.98492065;-0.16008452;-0.16868901;0.8479473;-0.21918561;-0.42659888;12.071.212;0.94067874
-0.70202732;0.50975332;-1.337.229;-1.439.567;11.860.183;12.356.681;-0.73290792;-0.31971355;13.044.195
0.84890688;0.30083374;0.14616293;-13.981.803;0.0040777898;-11.944.747;0.20142198;-13.022.388;0.61655412
-15.359.397;12.900.445;-0.16501629;-0.10376638;-0.57962538;-0.75990029;-13.377.046;0.74890609;0.63863788
